,given20_estimated7,given17_estimated8,given3_estimated2,given13_estimated31,given16_estimated3,given11_estimated0,given21_estimated3,given0_estimated28,given26_estimated24,given11_estimated2
133,2.0904462,1.4503694,2.981717,2.5187678,1.6191394,2.8964663,1.528734,1.488949,1.4165431,2.6700635
134,2.1067443,1.430895,2.9741418,2.4800704,1.5100079,2.8896427,1.4275092,1.4305209,1.4273512,2.6410131
135,2.0865152,1.5084099,2.986723,2.435381,1.4706306,2.9573462,1.4791307,1.4244465,1.4162014,2.7266092
136,2.108544,1.4930485,2.979649,2.4601607,1.537861,2.898453,1.4108287,1.5283577,1.4629041,2.6708329
137,2.0596294,1.4869484,3.0199754,2.4782553,1.4620482,2.9300954,1.4419556,1.4009849,1.4013276,2.6233058
138,2.0562372,1.4273231,3.085568,2.504326,1.5173204,2.9286954,1.3911464,1.4463483,1.4857466,2.6683812
139,2.055011,1.4374061,2.9697797,2.4842567,1.5483094,2.9138992,1.4678242,1.3993196,1.486771,2.6390235
140,2.0640109,1.4225208,3.0360112,2.4709353,1.546919,2.9315152,1.397188,1.466051,1.4546226,2.7071798
141,2.0412831,1.4349983,3.0098503,2.489329,1.4930358,2.927916,1.4716431,1.4737936,1.515079,2.6732953
142,1.9901229,1.4094889,2.9575357,2.3829987,1.5482785,2.9277015,1.4168133,1.4551841,1.4326819,2.6837795
143,1.9938774,1.4626656,3.004805,2.4028468,1.5201913,2.9169447,1.4521127,1.4905143,1.4424353,2.6536107
144,2.0005822,1.4179276,3.101085,2.406598,1.5672659,2.9248197,1.362562,1.4919953,1.4490097,2.6623921
145,1.9568136,1.4252255,3.042644,2.47356,1.5256542,2.9103115,1.4814754,1.493492,1.5247232,2.6331263
146,1.9293298,1.4846566,3.0394595,2.3576014,1.5443387,2.9203184,1.4279191,1.4125752,1.4957402,2.6735618
147,1.9678774,1.4631436,3.017211,2.396774,1.4654969,2.9284067,1.4268464,1.5163664,1.4674706,2.6542504
148,1.9711655,1.4395475,3.0389853,2.405572,1.5241046,2.9131362,1.4425814,1.4823403,1.448691,2.6172872
