,given20_estimated7,given17_estimated8,given3_estimated2,given13_estimated31,given16_estimated3,given11_estimated0,given21_estimated3,given0_estimated28,given26_estimated24,given11_estimated2
123,2.2717252,1.4399363,3.9324017,3.2298203,1.5237153,5.0673943,1.4279926,1.4386748,1.4616116,3.3927615
124,2.264582,1.4353819,3.9381454,3.228223,1.5426931,5.073902,1.4475218,1.4425911,1.4476346,3.3941767
125,2.266071,1.4419192,3.9323096,3.2020197,1.5348356,5.0746164,1.4380802,1.4402131,1.4635886,3.3873186
126,2.260363,1.431531,3.8974998,3.1735137,1.5279772,5.0044565,1.4317328,1.4392737,1.4487915,3.3551705
127,2.2591696,1.4388269,3.9109864,3.156144,1.529859,5.0118566,1.4353393,1.453057,1.4540583,3.3584151
128,2.2575674,1.4449601,3.8660455,3.1274204,1.5306598,4.9425483,1.4329104,1.4464297,1.4529679,3.3272605
129,2.250023,1.4393419,3.8721886,3.1217296,1.5335814,4.966754,1.4325424,1.44589,1.459797,3.327294
130,2.2500033,1.4338237,3.8467798,3.0839376,1.5357053,4.9109797,1.4363704,1.4379172,1.4506477,3.3005056
131,2.2516623,1.4324312,3.8737054,3.0834644,1.535768,4.9353642,1.4357097,1.4430549,1.455412,3.3074176
132,2.2411551,1.4403362,3.8307376,3.0515807,1.5304077,4.8579926,1.4342132,1.4380282,1.4560083,3.2637796
133,2.2445655,1.4304727,3.8200216,3.0315738,1.5314957,4.844154,1.4358642,1.449001,1.4643955,3.2660446
134,2.234388,1.42984,3.8128297,3.0241716,1.5305146,4.8246183,1.4342341,1.4305348,1.4549029,3.2535243
135,2.2339582,1.4377825,3.7961383,2.9940908,1.5333031,4.78647,1.4332954,1.448672,1.4513712,3.2294726
136,2.2293017,1.4444084,3.7735322,2.978681,1.5296639,4.757923,1.4307816,1.4510756,1.458436,3.2145066
137,2.2302876,1.4457964,3.793013,2.9772866,1.5283557,4.788685,1.4352661,1.4377778,1.4549253,3.2263055
138,2.2243803,1.4286784,3.7623768,2.9482555,1.5310262,4.7201967,1.4308763,1.4453086,1.452649,3.1951914
139,2.2244928,1.4466879,3.7483163,2.9278111,1.5314512,4.7160425,1.4310112,1.4326628,1.4556487,3.1933937
140,2.2180328,1.4309787,3.7361944,2.9164994,1.5245081,4.6821995,1.4289539,1.4468443,1.4503353,3.1678307
141,2.2092705,1.4353307,3.709677,2.894163,1.5252181,4.618447,1.4363928,1.4298369,1.4396571,3.1496358
142,2.2122161,1.4378016,3.6961963,2.8721879,1.5380937,4.6091127,1.445635,1.4413066,1.4572241,3.1369052
143,2.2046158,1.4442881,3.6896002,2.8660004,1.5207015,4.5950656,1.427152,1.4436877,1.4607542,3.134473
144,2.2092733,1.4294968,3.6967869,2.8608336,1.5264106,4.599847,1.43025,1.4434525,1.4560724,3.1291177
145,2.1989439,1.44569,3.6703458,2.8426344,1.5291213,4.559131,1.4366084,1.4314599,1.4639509,3.1120186
146,2.199575,1.4407207,3.669259,2.829302,1.5368235,4.5265884,1.4426554,1.4447061,1.4619812,3.0971768
147,2.184492,1.4342334,3.6452081,2.8044138,1.527911,4.485556,1.4309244,1.4367075,1.4504598,3.0766554
148,2.19424,1.4334856,3.659909,2.8085098,1.5303534,4.49311,1.4396399,1.4386314,1.4482917,3.0840065
149,2.190532,1.4383361,3.6529999,2.7928808,1.5283557,4.47787,1.4342233,1.4408238,1.4534366,3.0736458
150,2.1831734,1.4334705,3.6217992,2.7804832,1.5257522,4.4391165,1.4289107,1.4392443,1.4487305,3.0492563
151,2.1710966,1.4365417,3.5936792,2.7555506,1.5287453,4.383447,1.4313607,1.4392979,1.4533923,3.0319843
152,2.1708598,1.4424956,3.6092925,2.755655,1.5196418,4.39261,1.4255488,1.438594,1.4491007,3.030946
153,2.1674101,1.4373392,3.5932157,2.7440987,1.5325704,4.348509,1.4422628,1.4490771,1.4534312,3.0208495
154,2.164251,1.4387355,3.5801003,2.7286372,1.5167559,4.3356123,1.4294438,1.4381464,1.4595948,3.012817
155,2.157748,1.435257,3.5690289,2.7181616,1.5209061,4.2825017,1.4288245,1.4354244,1.4623765,2.9884186
